property_type,society,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,Price_in_Crore,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,luxury_score_bin
flat,emaar palm gardens,sector 83,12000.0,3.0,4,3+,6.0,Relatively New,1.8,1705.0,0,1,0,0,0,2,96,"[50, 100)"
flat,sare green parc,sector 92,4820.0,3.0,2,2,16.0,Relatively New,0.75,1556.0,0,0,0,0,0,0,0,"[0, 50)"
flat,mvn athens,sohna road,4667.0,1.0,1,1,11.0,New Property,0.21,511.0,0,0,0,0,0,0,16,"[0, 50)"
flat,milan cghs 9,sector 39,8333.0,3.0,3,3+,0.0,Old Property,2.0,2400.0,0,0,0,0,0,0,0,"[0, 50)"
flat,vatika gurgaon,sector 83,8875.0,4.0,4,3,7.0,Relatively New,1.42,2000.0,1,1,0,0,0,0,103,"[100, 150)"
house,independent,new sector 7,17200.39100684262,2.0,2,3,4.0,Moderately Old,1.7596,1023.0,0,0,0,0,0,0,0,"[0, 50)"
house,unitech aspen greens,sector 50,9697.293447293448,3.0,4,2,1.0,Moderately Old,3.141923076923077,3240.0,1,1,0,0,0,2,101,"[100, 150)"
flat,supertech new soft launch,sector 68,7119.0,2.0,2,2,7.0,New Property,0.84,1180.0,0,0,0,0,0,0,0,"[0, 50)"
flat,microtek greenburg,sector 86,8707.0,3.0,4,3,8.0,Relatively New,1.65,1895.0,0,1,0,0,0,0,124,"[100, 150)"
flat,suncity avenue 76,sector 76,7422.0,2.0,2,2,9.0,Under Construction,0.55,842.0,0,0,0,0,0,0,26,"[0, 50)"
house,independent,sector 26,1407.68,6.0,8,3+,4.0,Relatively New,1.7596,12500.0,0,1,1,1,0,2,60,"[50, 100)"
flat,vatika lifestyle homes,sector 83,5699.0,3.0,2,2,2.0,Moderately Old,1.04,1500.0,0,0,0,0,0,0,95,"[50, 100)"
flat,sidhartha ncr one,sector 95,5556.0,2.0,2,3,15.0,Relatively New,0.55,990.0,0,0,0,0,0,0,0,"[0, 50)"
flat,tulip violet,sector 69,8112.0,3.0,3,2,12.0,Relatively New,1.28,1578.0,0,0,0,1,0,2,49,"[0, 50)"
flat,eldeco accolade,sohna road,7424.0,3.0,3,3+,10.0,Relatively New,1.3,1466.0,0,0,0,0,0,0,49,"[0, 50)"
flat,ireo skyon,sector 60,13393.0,4.0,4,3,12.0,Relatively New,3.75,2650.0,0,1,0,0,0,2,49,"[0, 50)"
flat,umang monsoon breeze,sector 78,5719.0,2.0,2,2,5.0,Moderately Old,0.7,1224.0,0,0,0,0,0,0,0,"[0, 50)"
flat,ss,sector 85,7121.0,2.0,2,3,11.0,Relatively New,1.19,1670.0,0,0,0,0,0,0,49,"[0, 50)"
flat,gls arawali homes,sohna road,4688.0,2.0,2,2,1.0,New Property,0.27,655.0,0,0,0,0,0,0,35,"[0, 50)"
flat,ats marigold,sector 89,8571.0,3.0,3,3,2.0,New Property,1.5,1989.0,0,0,0,0,1,0,49,"[0, 50)"
flat,vatika gurgaon,sector 83,7179.0,4.0,4,3,10.0,Relatively New,1.4,2216.0,0,1,0,0,0,0,35,"[0, 50)"
house,independent,sector 4,4590.347923681256,3.0,4,1,2.0,Moderately Old,0.45444444444444443,990.0,0,0,0,0,0,0,0,"[0, 50)"
house,ansal sushant lok 2,sector 56,9721.842225262199,3.0,6,3+,2.0,Moderately Old,1.4874418604651163,1530.0,0,0,0,0,0,2,29,"[0, 50)"
flat,ireo skyon,sector 60,13393.0,4.0,5,3,15.0,Relatively New,3.75,2800.0,0,1,0,0,0,0,167,"[150, 200)"
house,independent,sector 7,3652.777777777778,2.0,2,2,2.0,Old Property,0.526,1440.0,0,0,0,0,0,0,22,"[0, 50)"
house,"om nagar, sector-11",near khandsa road,24438.88888888889,2.0,2,1,0.0,Old Property,1.7596,720.0,0,0,0,0,1,0,7,"[0, 50)"
flat,shree vardhman victoria,sector 70,9111.0,2.0,2,3,1.0,Relatively New,1.23,1350.0,1,0,0,0,0,0,43,"[0, 50)"
flat,conscient habitat,sector 99a,6422.0,2.0,2,1,3.0,Relatively New,0.35,619.0,0,0,0,0,0,0,62,"[50, 100)"
flat,signature the serenas,sohna road,8475.0,2.0,2,1,10.0,New Property,0.45,603.0,0,0,0,0,0,0,23,"[0, 50)"
flat,signature global the millennia,sector 37d,9167.0,2.0,2,3,3.0,New Property,0.55,610.0,0,0,0,0,0,0,71,"[50, 100)"
flat,smart world gems,sector 89,9973.0,2.0,2,2,3.0,New Property,1.1,1253.0,0,0,1,0,0,0,77,"[50, 100)"
flat,trisara our homes 3,sohna road,5980.0,2.0,2,1,1.0,New Property,0.36,511.0,0,0,0,0,0,0,45,"[0, 50)"
flat,shree vardhman victoria,sector 70,8519.0,2.0,2,2,6.0,Relatively New,1.15,1534.0,1,0,0,0,0,0,85,"[50, 100)"
flat,experion windchants,sector 112,10417.0,4.0,5,3,11.0,Relatively New,6.5,4800.0,0,0,0,0,0,0,55,"[50, 100)"
flat,bestech park view residency,sector 2,8051.0,2.0,2,3,7.0,Moderately Old,1.26,1565.0,1,0,0,0,0,0,84,"[50, 100)"
flat,m3m latitude,sector 65,19748.0,3.0,3,3+,9.0,Relatively New,4.7,2380.0,0,1,0,1,0,2,44,"[0, 50)"
flat,signature the roselia,sector 95,6194.0,2.0,2,2,12.0,New Property,0.415,670.0,1,0,0,0,0,2,90,"[50, 100)"
flat,ireo the grand arch,sector 58,16000.0,2.0,2,2,6.0,Relatively New,2.2,1375.0,0,0,0,0,0,0,42,"[0, 50)"
flat,ss the leaf,sector 85,7180.0,2.0,2,2,16.0,Relatively New,1.25,1978.0,0,0,0,0,0,2,49,"[0, 50)"
flat,conscient heritage max,sector 102,9063.0,3.0,4,3+,16.0,Relatively New,1.75,1931.0,0,1,0,0,0,0,134,"[100, 150)"
flat,imperia the esfera,sector 37c,5455.0,3.0,5,3+,5.0,Relatively New,0.99,1400.0,0,1,0,0,0,0,49,"[0, 50)"
flat,smart world gems,sector 89,10498.0,3.0,2,3,1.0,New Property,1.16,1103.0,1,0,0,0,0,0,49,"[0, 50)"
flat,experion windchants,sector 112,11205.0,4.0,6,3+,15.0,Relatively New,5.31,3573.33,0,1,0,1,0,0,72,"[50, 100)"
flat,ats tourmaline,sector 109,8897.0,3.0,4,3+,10.0,New Property,2.3,2585.0,0,1,0,0,1,0,74,"[50, 100)"
flat,supertech araville,sector 79,5882.0,2.0,2,3,5.0,Relatively New,0.9,1450.0,1,0,0,0,0,0,53,"[50, 100)"
flat,emaar gurgaon greens,sector 102,8182.0,3.0,3,3,5.0,Relatively New,1.35,1162.0,0,1,0,0,0,0,119,"[100, 150)"
flat,microtek greenburg,sector 86,8754.0,2.0,2,3,10.0,Relatively New,1.3,1480.0,1,0,0,0,0,0,38,"[0, 50)"
flat,silverglades the melia,sohna road,5556.0,2.0,2,2,4.0,Moderately Old,0.75,1350.0,0,0,0,0,0,0,70,"[50, 100)"
flat,m3m heights,sector 65,14997.0,3.0,3,3,20.0,Under Construction,2.8,1867.0,0,0,0,0,0,0,91,"[50, 100)"
flat,palam vihar society,sector 2,7444.0,4.0,4,3+,2.0,New Property,3.35,5114.0,1,0,0,0,0,0,66,"[50, 100)"
flat,shapoorji pallonji joyville gurugram,sector 102,11447.0,3.0,3,3,9.0,New Property,2.12,1500.0,0,0,0,0,0,0,109,"[100, 150)"
flat,vipul lavanya,sector 81,5967.0,2.0,2,2,7.0,Moderately Old,0.75,1428.0,0,0,0,0,0,0,37,"[0, 50)"
flat,the lions cghs,sector 56,7885.0,4.0,4,3+,7.0,Old Property,2.05,2600.0,0,0,1,0,0,2,120,"[100, 150)"
flat,professional society,imt manesar,3067.0,3.0,4,3,3.0,Relatively New,0.75,2778.0,0,1,0,0,0,0,21,"[0, 50)"
flat,shree vardhman victoria,sector 70,8462.0,3.0,4,3,5.0,Relatively New,1.65,1319.0,0,1,0,0,1,2,49,"[0, 50)"
flat,smart world gems,sector 89,7706.0,2.0,2,2,2.0,Under Construction,0.85,1253.0,1,0,0,0,0,0,45,"[0, 50)"
flat,chd avenue,sector 71,6019.0,4.0,4,3,14.0,Moderately Old,1.32,2193.0,0,1,0,0,0,0,65,"[50, 100)"
flat,smart world orchard,sector 61,14203.0,3.0,3,2,4.0,New Property,2.2,1760.0,0,0,0,0,0,0,152,"[150, 200)"
house,international city by sobha phase 2,sector 109,4887.777777777777,5.0,5,3+,2.0,Relatively New,1.7596,3600.0,1,1,1,1,0,0,133,"[100, 150)"
flat,pgr shree kripaluji apartment,sector 52,6087.0,3.0,3,3+,8.0,Relatively New,1.4,2614.0,0,0,0,0,0,2,80,"[50, 100)"
flat,dlf trinity towers,sector 43,15510.0,3.0,3,3+,1.0,Moderately Old,3.8,2450.0,0,1,0,1,0,2,68,"[50, 100)"
flat,vatika city,sector 49,12786.0,3.0,3,3,9.0,Old Property,1.79,1591.0,0,1,0,0,0,0,38,"[0, 50)"
flat,the lions cghs,sector 56,7885.0,4.0,4,3+,6.0,Relatively New,2.05,2500.0,0,0,0,0,1,2,101,"[100, 150)"
flat,vatika sovereign park,sector 99,8813.0,3.0,4,3,1.0,New Property,2.45,2780.0,0,1,0,0,0,2,165,"[150, 200)"
flat,millenia,sector 37c,6667.0,2.0,2,2,4.0,New Property,0.4,682.0,0,0,0,0,0,0,29,"[0, 50)"
flat,shapoorji pallonji joyville gurugram,sector 102,11475.0,2.0,2,2,0.0,Under Construction,1.05,1040.0,0,0,0,0,0,0,49,"[0, 50)"
flat,ild greens,sector 37c,7500.0,3.0,3,3,4.0,New Property,1.05,1500.0,0,0,0,0,0,2,5,"[0, 50)"
flat,dlf regal gardens,sector 90,8040.0,4.0,4,3+,12.0,Relatively New,1.78,2215.0,0,0,0,0,0,0,61,"[50, 100)"
flat,micasa sec 68,sohna road road,12245.0,2.0,2,3,11.0,New Property,1.5,1392.0,0,0,0,0,0,0,44,"[0, 50)"
flat,dlf new town heights,sector 90,8639.0,3.0,4,3+,0.0,Old Property,1.25,1644.0,0,1,0,0,0,1,31,"[0, 50)"
house,unitech espace,sector 50,9697.293447293448,5.0,5,3+,2.0,Moderately Old,3.141923076923077,3240.0,1,0,0,1,0,0,21,"[0, 50)"
flat,breeze global heights,sector 33,6421.0,2.0,2,2,4.0,Under Construction,0.4,623.0,0,0,0,0,0,0,0,"[0, 50)"
flat,m3m heights,sector 65,13957.0,2.0,2,2,32.0,Relatively New,2.0,1433.0,0,0,0,0,0,0,48,"[0, 50)"
flat,raheja vedaanta,sector 108,4651.0,2.0,2,2,12.0,Moderately Old,0.7,1505.0,0,0,0,0,0,0,72,"[50, 100)"
flat,shapoorji pallonji joyville gurugram,sector 102,14069.0,3.0,3,3+,1.0,Relatively New,2.04,1648.0,0,0,0,0,0,0,72,"[50, 100)"
flat,railway officers rpf society,sector 9a,6921.0,4.0,3,3,1.0,Old Property,1.25,2052.0,0,1,0,0,0,2,12,"[0, 50)"
flat,godrej,sector 79,8475.0,3.0,4,3+,9.0,Relatively New,2.0,1963.0,0,1,0,0,0,0,108,"[100, 150)"
flat,bptp mansions park prime,sector 66,10854.0,4.0,4,3,3.0,Relatively New,3.0,2700.0,1,1,0,1,1,2,174,"[150, 200)"
flat,experion windchants,sector 112,11530.0,4.0,6,3+,15.0,Moderately Old,5.6,3662.34,0,1,0,0,0,2,157,"[150, 200)"
flat,umang winter hills,sector 77,5589.0,2.0,2,2,8.0,Relatively New,0.75,1140.0,0,0,1,0,0,2,102,"[100, 150)"
flat,pyramid urban,sector 67a,7929.0,2.0,2,2,0.0,Relatively New,0.555,795.0,0,0,0,0,1,0,49,"[0, 50)"
house,dlf new town heights,sector 91,4298.0392156862745,4.0,4,3+,3.0,Moderately Old,1.4613333333333332,3400.0,1,1,1,1,0,2,80,"[50, 100)"
flat,sobha city,sector 108,13758.0,2.0,2,2,8.0,Relatively New,1.9,1381.0,0,0,0,0,0,0,85,"[50, 100)"
flat,signature global park,sohna road,6331.0,2.0,2,2,4.0,Relatively New,0.535,960.0,0,0,0,1,0,0,159,"[150, 200)"
flat,signature andour heights,sector 71,10172.0,2.0,2,1,10.0,Relatively New,0.65,616.0,0,0,0,0,0,2,23,"[0, 50)"
flat,m3m merlin,sector 67,13672.0,3.0,3,3,2.0,Relatively New,2.8,2048.0,0,0,1,0,0,1,174,"[150, 200)"
flat,microtek greenburg,sector 86,9797.0,3.0,2,3,8.0,Relatively New,1.45,1480.0,0,0,0,0,0,1,72,"[50, 100)"
flat,ss the leaf,sector 85,7780.0,2.0,2,3+,16.0,Relatively New,1.3,1328.0,0,0,1,0,0,0,148,"[100, 150)"
house,vipul tatvam villa,sector 48,127654.32098765433,4.0,4,3+,3.0,Relatively New,3.82962962962963,300.0,0,1,1,0,0,2,160,"[150, 200)"
house,independent,begampur khatola,7741.311042674879,4.0,4,0,2.0,Moderately Old,1.7596,2273.0,0,0,0,0,0,0,0,"[0, 50)"
flat,ramprastha the edge towers,sector 37d,5319.0,2.0,2,3,19.0,Moderately Old,0.75,1410.0,0,0,0,0,0,0,63,"[50, 100)"
flat,vatika gurgaon,sector 83,6051.0,3.0,3,3,12.0,Relatively New,1.1,1735.0,0,1,0,0,0,2,66,"[50, 100)"
flat,sbtl caladium,sector 109,6915.0,3.0,2,3,16.0,Moderately Old,1.3,1880.0,0,0,0,0,0,0,134,"[100, 150)"
flat,ansal heights 86,sector 86,5735.0,2.0,2,2,8.0,New Property,0.78,1360.0,0,0,0,0,0,0,72,"[50, 100)"
flat,woodstock floors,sector 50,10628.0,2.0,2,2,2.0,Moderately Old,1.05,1123.0,0,0,0,0,0,0,53,"[50, 100)"
flat,tulip violet,sector 69,9823.0,3.0,3,2,5.0,Relatively New,1.55,1578.0,0,0,0,1,0,0,99,"[50, 100)"
house,dlf city phase 1,sector 26,9775.555555555555,4.0,4,3,2.0,Moderately Old,1.7596,1800.0,1,1,0,1,0,0,69,"[50, 100)"
flat,bestech park view residency,sector 2,7865.0,3.0,3,3+,6.0,Old Property,1.4,1780.0,0,0,0,0,0,1,107,"[100, 150)"
house,independent,sector 4,90888.88888888888,2.0,2,1,2.0,New Property,0.45444444444444443,50.0,1,0,0,0,0,2,73,"[50, 100)"
house,independent,sector 12,10666.666666666668,2.0,4,0,2.0,Old Property,0.7200000000000001,675.0,0,0,0,0,0,0,0,"[0, 50)"
flat,emaar mgf emerald floors premier,sector 65,14242.0,3.0,3,3,2.0,Relatively New,2.35,1650.0,1,1,0,0,0,2,168,"[150, 200)"
flat,emaar palm gardens,sector 83,7789.0,3.0,3,3,7.0,Relatively New,1.48,1409.0,0,1,0,0,0,0,66,"[50, 100)"
flat,ats triumph,sector 104,8413.0,4.0,4,3+,10.0,Relatively New,2.65,3150.0,0,1,0,0,0,0,174,"[150, 200)"
house,not applicable,sector 4,7100.694444444443,2.0,4,3,2.0,Moderately Old,0.45444444444444443,640.0,0,0,0,0,0,0,0,"[0, 50)"
flat,apna enclave,sector 3,6105.0,2.0,2,2,2.0,Old Property,0.58,900.0,0,0,0,0,0,0,66,"[50, 100)"
flat,shree vardhman flora,sector 90,4404.0,3.0,4,3,3.0,Relatively New,0.85,1648.0,0,1,1,0,0,0,110,"[100, 150)"
flat,vatika sovereign next,sector 82a,7500.0,5.0,6,3+,6.0,New Property,3.85,5841.0,0,1,0,1,0,0,148,"[100, 150)"
flat,bestech park view sanskruti,sector 92,9688.0,3.0,3,3,17.0,Relatively New,1.55,1818.0,0,1,0,0,0,2,60,"[50, 100)"
flat,orris carnation residency,sector 85,4532.0,4.0,4,3,8.0,Moderately Old,0.895,1575.0,0,0,0,0,0,2,40,"[0, 50)"
flat,dlf the primus,sector 82a,10936.0,4.0,4,3+,2.0,New Property,2.85,2045.0,0,1,0,0,0,1,174,"[150, 200)"
flat,sbr apartment,sector 1a imt manesar,4456.0,3.0,3,3,2.0,Moderately Old,0.68,1526.0,0,0,0,0,0,0,0,"[0, 50)"
flat,krrish provence estate,gwal pahari,9052.0,4.0,5,3+,2.0,New Property,5.25,5800.0,1,1,0,1,0,0,49,"[0, 50)"
house,independent,sector 25,37283.950617283954,2.0,4,3,3.0,Old Property,5.033333333333333,1350.0,0,1,0,0,0,0,49,"[0, 50)"
flat,unitech uniworld gardens,sector 47,10532.0,2.0,2,2,3.0,Relatively New,1.05,1133.0,0,0,0,0,0,2,34,"[0, 50)"
flat,m3m the marina,sector 68,12500.0,2.0,2,3,21.0,Relatively New,1.0,909.0,0,0,0,0,0,0,31,"[0, 50)"
house,tata primanti,sector 72,6187.3015873015875,5.0,6,3+,10.0,Relatively New,3.898,6300.0,1,1,1,1,0,2,145,"[100, 150)"
flat,dhoot time residency,sector 63,12813.0,3.0,4,3+,8.0,Moderately Old,2.2,1717.0,1,0,0,0,0,2,61,"[50, 100)"
flat,dnha cghs,sector 1,3864.0,3.0,3,0,5.0,Moderately Old,0.85,2200.0,0,0,0,0,0,0,0,"[0, 50)"
flat,global hill view,sector-11 sohna road,4861.0,2.0,2,2,10.0,New Property,0.35,658.0,0,0,0,0,0,0,118,"[100, 150)"
house,unitech espace,sector 50,9697.293447293448,5.0,7,3+,3.0,Moderately Old,3.141923076923077,3240.0,1,1,0,1,1,2,153,"[150, 200)"
house,independent,sector 9,4566.2100456621,3.0,9,3,3.0,Moderately Old,1.2,2628.0,0,0,0,0,0,2,61,"[50, 100)"
flat,vatika gurgaon,sector 83,6988.0,2.0,2,2,3.0,Moderately Old,0.87,1245.0,0,0,0,0,0,0,35,"[0, 50)"
flat,bestech park view grand spa,sector 81,8835.0,3.0,4,3+,10.0,Relatively New,2.35,2675.0,0,1,0,0,0,0,109,"[100, 150)"
flat,emaar palm heights,sector 77,8840.0,3.0,3,3,1.0,New Property,1.79,1600.0,0,1,0,0,0,2,49,"[0, 50)"
flat,dlf the primus,sector 82a,13431.0,5.0,5,3+,14.0,Relatively New,3.5,2961.0,1,0,0,0,0,1,49,"[0, 50)"
house,independent,sector 7,6939.313984168865,1.0,1,1,2.0,Old Property,0.526,758.0,0,0,0,0,0,0,0,"[0, 50)"
